,DateTime,Title,index
0,2017-01-01 08:00:00,АПЛ. Анонс 19-го тура. Матчи воскресенья,0
1,2017-01-01 08:17:00,Рейнджерс — Селтик 1:2,1
2,2017-01-01 08:38:00,Официально: Мишел Бастос — игрок Палмейраса,2
3,2017-01-01 08:57:00,Челси повторил рекорд Арсенала,3
4,2017-01-01 09:23:00,Колорадо Рэпидз близок к подписанию воспитанника Ман Сити,4
5,2017-01-01 09:41:00,Руди Гарсия нужен Муниаин,5
6,2017-01-01 09:59:00,"Конте: ""Можем адаптироваться к любому игровому стилю""",6
7,2017-01-01 10:21:00,Лацио требует у Лиона за Джорджевича 15 млн евро,7
8,2017-01-01 10:44:00,Боруссия Д положила глаз на Зелалема,8
9,2017-01-01 11:00:00,Правила жизни. Мишель Идальго,9
10,2017-01-01 11:02:00,Енджейчик возвращается в Легию,10
11,2017-01-01 11:25:00,"Конте: ""Во второй части сезона нам будет гораздо труднее""",11
12,2017-01-01 11:42:00,Астон Вилла нацелилась на Роудса,12
13,2017-01-01 12:01:00,Бадштубер на радаре у Ман Сити,13
14,2017-01-01 12:15:00,Клемент согласился принять Суонси,14
15,2017-01-01 12:29:00,"Билич: надеюсь, Нобл не получил серьезную травму",15
16,2017-01-01 12:33:00,Марсель намерен усилиться Нтепом,16
17,2017-01-01 13:01:00,Петров — лучший игрок Волыни в 2016-м,17
18,2017-01-01 13:27:00,Конте: Виллиан — фантастический игрок,18
19,2017-01-01 13:41:00,Черноморец сыграет с болгарским Нефтохимиком,19
20,2017-01-01 14:06:00,ВБА будет выходить на трансферный рынок,20
21,2017-01-01 14:19:00,Ван Гинкель доволен переходом в ПСВ,21
22,2017-01-01 14:37:00,Сандерленду интересен Нагатомо,22
23,2017-01-01 15:05:00,"Кэхилл: ""Хотим устанавливать рекорды""",23
24,2017-01-01 15:25:00,Девича отзаявили из Рубина,24
25,2017-01-01 15:40:00,Ливерпулю не нужен Харт,25
26,2017-01-01 16:02:00,Трем клубам интересен Хегелер,26
27,2017-01-01 16:26:00,"В контрактах Брандта, Лено и Бендера прописана клаусула",27
28,2017-01-01 16:37:00,Коутиньо и Матип все еще недоступны,28
29,2017-01-01 17:13:00,Салливан обещает активность Вест Хэма на трансферном рынке,29
30,2017-01-01 17:24:00,Лемина нужен РБ Лейпцигу и Шальке,30
31,2017-01-01 17:26:00,Тоттенхэм легко разобрался с Уотфордом,31
32,2017-01-01 17:41:00,Гамбург переманил спортдира из Карлсруэ,32
33,2017-01-01 18:35:00,"Гвардиола: ""Ман Сити продолжает борьбу за чемпионство""",33
34,2017-01-01 18:44:00,Рамос вернулся к тренировкам,34
